process_area,bottleneck_id,description,severity,estimated_impact_hours_week,data_quality,notes
Audit & Sign-Off,BN-001,CTO sign-off queue depth — 14 items waiting as of Oct 2 2025,4,8.0,estimate only,vedi observation-003; queue depth fluctuates but rarely below 8 items
Audit & Sign-Off,BN-002,Audit cycle time variation (factor of 3 discrepancy among team leads),3,5.5,no data available — estimate only,Marco Fiore: 3-4 days; Laura Galli: 6-8 days; junior auditor: 2-3 days — no objective measurement
Analysis & Reporting,BN-003,Template fragmentation — multiple versions in circulation,2,3.0,estimate only,Shared drive version (2022), Sept 2025 email version, Slack references. Consultants spend time hunting for correct version
Analysis & Reporting,BN-004,Copy-paste report assembly — 60% content reuse without systematic framework,3,6.5,estimate only,observation-004; creates rework and quality inconsistency; no process guidance on when/how to reuse
Compliance Assessment & Data Collection,BN-005,Client data provision delays — unpredictable turnaround,4,12.0,no data available — estimate only,5-15 business day range observed; frequently requires 2-3 follow-up rounds; accounts for majority of cycle time
Compliance Assessment & Data Collection,BN-006,Incomplete/insufficient client data on first submission,3,7.0,no data available — estimate only,Follow-up requests add 3-5 business days per round; no systematic checklist to prevent this
Analysis & Reporting,BN-007,Quality inconsistency across different analysts,2,2.5,estimate only,Different review depth; no standardized detail level required; Riccardo Boni spot-checks catch some issues
Audit & Sign-Off,BN-008,Rework due to external standard changes not tracked,2,4.0,estimate only,observation-003: ISO 27001 update discovered mid-audit required 2.5 hour rework; no systematic monitoring of standard updates
Client Intake & Scoping,BN-009,Scope creep post-SOW approval,3,5.5,estimate only,No formal change request process; modifications absorbed into timeline
Knowledge Management,BN-010,Internal wiki defunct (last update March 2023),2,1.5,estimate only,observation-005; consultants consult external sources instead; knowledge is fragmented across Slack and email
Analysis & Reporting,BN-011,Audit feedback loss on report resubmission,1,0.5,estimate only,observation-003: auditor comments not accessible via shared drive; consultant recreates feedback from memory
Audit & Sign-Off,BN-012,No visibility into audit queue status,unknown,unknown,no data available — estimate only,No tracking system; David Park reports frustration with not knowing where items are in pipeline
Client Delivery & Close,BN-013,No formalized client follow-up or remediation tracking,2,2.0,estimate only,If client requests post-delivery modifications, unclear process; no systematic follow-up on recommendations
Compliance Assessment & Data Collection,BN-014,Inconsistent data collection methodology across engagements,unknown,unknown,no data available — estimate only,Conflicting reports from team leads — needs verification; Laura Galli and Marco Fiore differ on standard approach
Process Tracking,BN-015,No stage gate or WIP tracking system,3,7.0,no data available — estimate only,Cannot measure cycle time; cannot identify where bottlenecks occur; all estimates are subjective
Analysis & Reporting,BN-016,Broken Excel formulas in compliance matrix template,1,0.3,estimate only,observation-004: two formulas broken in one report; one corrected one-time; systemic cause unknown
Audit & Sign-Off,BN-017,CTO unavailable during peak periods — backup approval process undefined,unknown,unknown,no data available — estimate only,David Park's schedule constraints appear to drive queue growth; no deputy sign-off authority documented
Client Intake & Scoping,BN-018,SOW approval timelines unpredictable — client-dependent with no documented SLA,3,4.5,estimate only,"3-7 business days observed; no formal SLA; contributes to overall engagement timeline uncertainty"
